Eiendom,Spotprisår,Kostnad for vannbåren varme (kr),Kilde vannbåren varme,Kilde andre kostnader,Beregningstid (år),Diskonteringsrente (%),Nåverdi bergvarme (kr),Nåverdi luft-luft-varmepumpe (kr),Differanse (kr),Forklaring
Kleivveien 44A,2023,91125,Sweco,Sweco,50,6,217701,201512,16189,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Sweco,60,6,232630,211802,20828,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,30,4,109503,139656,-30153,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,40,4,177253,168154,9099,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,50,4,211816,195903,15913,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,60,4,242736,217434,25302,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,30,5,65800,108357,-42557,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,40,5,114669,128369,-13700,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,50,5,137028,146779,-9751,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,60,5,155446,159604,-4158,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,30,6,28935,82156,-53221,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,40,6,64320,96248,-31928,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,50,6,78848,108522,-29674,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,91125,Sweco,Sweco,60,6,89881,116205,-26324,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,30,4,205232,54986,150246,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,40,4,296899,73757,223142,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,50,4,336680,98030,238650,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,60,4,378516,126866,251650,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,30,5,148813,18579,130234,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,40,5,214933,30826,184107,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,50,5,240423,47034,193389,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,60,5,265343,64211,201132,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,30,6,101162,-11805,112967,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,40,6,149039,-3885,152924,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,50,6,165436,6993,158443,Bergvarme er lønnsom
Kleivveien 44A,2023,91125,Sweco,Asplan Viak,60,6,180364,17282,163082,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,30,4,54751,-45786,100537,Bergvarme er lønnsom
